traintweets.tsv:472440774785650688	-3.92	Text Desirability Expertise Social_interaction_evaluation Usefulness Feeling Degree Experiencer_obj
traintweets.tsv:472247134780018688	-1.09	People_by_origin
traintweets.tsv:472144639232065537	-3.51	
traintweets.tsv:472456249364467712	0.32	Motion_directional
traintweets.tsv:472114813670158336	-1.36	Physical_artworks Judgment
traintweets.tsv:472312347349221376	-3.44	Activity_ongoing Process_continue Being_at_risk Risky_situation Risky_situation Becoming_aware Locating
traintweets.tsv:472052847715307520	0.26	Optical_image Sensation Choosing Experiencer_focus
traintweets.tsv:472461287558238208	-2.6	Age People_by_age People
traintweets.tsv:472103582536593410	-2.44	Calendric_unit Measure_duration Timespan
traintweets.tsv:474634054802112512	-0.98	Attempt Attempt_means Degree Experiencer_obj
traintweets.tsv:473205318005297152	2.11	Cause_harm
traintweets.tsv:472083948751691776	-0.89	Architectural_part
traintweets.tsv:472270981071781888	-0.77	Required_event Filling Desirability Required_event Ingestion
traintweets.tsv:472113745582620672	-0.46	Scrutiny Cure Being_in_effect Causation Objective_influence Rite Communication Statement Text_creation Dead_or_alive
traintweets.tsv:472383962757619714	-3.43	Cause_harm Corporal_punishment Kinship
traintweets.tsv:472276637418283008	-2.06	Communication Statement Text_creation Desirability Personal_relationship Point_of_dispute Personal_relationship Point_of_dispute
traintweets.tsv:475684199304011776	-2.15	Observable_body_parts People
traintweets.tsv:472176121765986304	-0.78	Participation Participation Fining Moving_in_place
traintweets.tsv:472148581907169281	-2.52	Kinship Apply_heat Experience_bodily_harm Apply_heat
traintweets.tsv:474584675160047617	-1.14	People
traintweets.tsv:472204702440910849	-1.5	
traintweets.tsv:472179787814162432	-2.72	State_of_entity Achieving_first Coming_up_with Destroying
traintweets.tsv:475341370354176000	-3.51	Representing Personal_relationship
traintweets.tsv:474403801202323456	-2.05	Calendric_unit Communication Statement Text_creation Kinship Make_possible_to_do Ranked_expectation Desiring Make_possible_to_do Locale_by_event Buildings Expected_location_of_person
traintweets.tsv:474597542139666432	-1.3	Medical_conditions Ingestion Building_subparts
